Table,Indicator,Period,Year,Quarter,Value
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2020Q1,2020,Q1,62532.61594312585
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2020Q2,2020,Q2,62912.01044811035
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2020Q3,2020,Q3,63416.06421985066
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2020,2020,,64008.94944700824
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2021Q1,2021,Q1,64573.66280575297
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2021Q2,2021,Q2,65513.06701827294
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2021Q3,2021,Q3,66022.32482964902
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2021,2021,,64728.02012562251
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2022Q1,2022,Q1,64894.211631779166
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2022Q2,2022,Q2,67870.67210922479
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2022Q3,2022,Q3,67153.26522212868
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2022,2022,,66627.91992284011
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2023Q1,2023,Q1,67305.48338147487
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2023Q2,2023,Q2,67781.33053116166
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2023Q3,2023,Q3,68847.11901723836
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2023Q4,2023,Q4,69779.00372788911
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2024Q1,2024,Q1,70377.69271185169
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2024Q2,2024,Q2,72270.98501338538
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2024Q3,2024,Q3,75921.15139232906
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2024Q4,2024,Q4,77067.902624534
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2025Q1,2025,Q1,78189.23415647127
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2025Q2,2025,Q2,79218.54437188822
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2025Q3,2025,Q3,80352.3855988391
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2020Q1,2020,Q1,20201.318773698084
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2020Q2,2020,Q2,21038.831392868717
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2020Q3,2020,Q3,21104.194631082377
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2020,2020,,21272.888079371613
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2021Q1,2021,Q1,21327.255281912585
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2021Q2,2021,Q2,21365.40989943444
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2021Q3,2021,Q3,21938.029395318117
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2021,2021,,20941.455805068686
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2022Q1,2022,Q1,21219.67177021163
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2022Q2,2022,Q2,22221.136657330255
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2022Q3,2022,Q3,22056.54639413845
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2022,2022,,21865.54813173726
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2023Q1,2023,Q1,22033.928837259926
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2023Q2,2023,Q2,22033.901273486954
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2023Q3,2023,Q3,22610.473116665416
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2023Q4,2023,Q4,23015.361905476744
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2024Q1,2024,Q1,23325.840026020167
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2024Q2,2024,Q2,23832.970552177936
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2024Q3,2024,Q3,25163.47669443819
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2024Q4,2024,Q4,25663.564262303287
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2025Q1,2025,Q1,26115.20178138057
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2025Q2,2025,Q2,26554.74242537967
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2025Q3,2025,Q3,27031.96227075984
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2020Q1,2020,Q1,40244.95264449029
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2020Q2,2020,Q2,39798.468561220645
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2020Q3,2020,Q3,40368.32341104782
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2020,2020,,40719.32087282753
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2021Q1,2021,Q1,40880.045635424496
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2021Q2,2021,Q2,41012.0606120501
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2021Q3,2021,Q3,41604.03263032929
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2021,2021,,41258.32677616
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2022Q1,2022,Q1,41510.885324733325
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2022Q2,2022,Q2,43308.76843149495
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2022Q3,2022,Q3,42934.928238044784
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2022,2022,,42558.56108304071
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2023Q1,2023,Q1,43040.18494356244
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2023Q2,2023,Q2,43426.73071630514
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2023Q3,2023,Q3,44037.10375541045
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2023Q4,2023,Q4,44516.988165828516
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2024Q1,2024,Q1,44784.60807125522
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2024Q2,2024,Q2,45764.10468112788
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2024Q3,2024,Q3,47979.23390627736
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2024Q4,2024,Q4,48603.17996447247
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2025Q1,2025,Q1,49238.359728789816
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2025Q2,2025,Q2,49792.13890765343
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular homem (por 10.000 km2),2025Q3,2025,Q3,50433.87375215792
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2020Q1,2020,Q1,116038.27471074421
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2020Q2,2020,Q2,121353.00026645685
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2020Q3,2020,Q3,126684.81408693499
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2020,2020,,135527.71588945918
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2021Q1,2021,Q1,137933.32074022462
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2021Q2,2021,Q2,150038.79261276565
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2021Q3,2021,Q3,165935.5950056231
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2021,2021,,143414.9695287937
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2022Q1,2022,Q1,147862.25955217212
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2022Q2,2022,Q2,129990.15856869597
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2022Q3,2022,Q3,124907.71633379294
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2022,2022,,149153.51063493904
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2023Q1,2023,Q1,168213.70692041857
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2023Q2,2023,Q2,186827.47879606695
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2023Q3,2023,Q3,201774.9505867047
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2023Q4,2023,Q4,210130.63874502742
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2024Q1,2024,Q1,212622.14466211316
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2024Q2,2024,Q2,220854.38715004126
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2024Q3,2024,Q3,231844.64209762568
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2024Q4,2024,Q4,255584.5602842203
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2025Q1,2025,Q1,265889.9959968976
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2025Q2,2025,Q2,287518.52685831516
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas IME (por 10,000 km2)",2025Q3,2025,Q3,299992.44414421177
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2020Q1,2020,Q1,45172.42911804039
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2020Q2,2020,Q2,47241.393552798894
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2020Q3,2020,Q3,49317.01026182461
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2020,2020,,52759.45505745832
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2021Q1,2021,Q1,53695.93067188894
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2021Q2,2021,Q2,58408.458253550416
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2021Q3,2021,Q3,64596.909271844976
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2021,2021,,56374.43439247619
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2022Q1,2022,Q1,59062.869423993885
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2022Q2,2022,Q2,52828.58708384837
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2022Q3,2022,Q3,51620.61584600977
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2022,2022,,62238.61865301343
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2023Q1,2023,Q1,74994.76727896539
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2023Q2,2023,Q2,84438.67747504315
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2023Q3,2023,Q3,92226.17528584653
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2023Q4,2023,Q4,96558.40776601867
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2024Q1,2024,Q1,98837.89937201331
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2024Q2,2024,Q2,101081.30050789361
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2024Q3,2024,Q3,103765.60584452952
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2024Q4,2024,Q4,114227.43376116491
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2025Q1,2025,Q1,122035.71517926393
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2025Q2,2025,Q2,131770.4470964998
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular mulher (por 10.000 km2),2025Q3,2025,Q3,137367.0594710901
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2020Q1,2020,Q1,70444.7930164958
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2020Q2,2020,Q2,73671.26930326353
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2020Q3,2020,Q3,76908.11957462748
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2020,2020,,82276.48952580821
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2021Q1,2021,Q1,83736.88986538647
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2021Q2,2021,Q2,91085.90864866221
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2021Q3,2021,Q3,100736.57742136232
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2021,2021,,86543.83036310492
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2022Q1,2022,Q1,88508.90292876473
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2022Q2,2022,Q2,76926.95211098617
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2022Q3,2022,Q3,73078.82998486346
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2022,2022,,86681.41182745172
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2023Q1,2023,Q1,93044.05541625844
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2023Q2,2023,Q2,102217.16830543672
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2023Q3,2023,Q3,109392.51670044284
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2023Q4,2023,Q4,112134.82949285697
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2024Q1,2024,Q1,113625.02189196627
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2024Q2,2024,Q2,116595.79924441442
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2024Q3,2024,Q3,123833.27078485826
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2024Q4,2024,Q4,136197.19007230602
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2025Q1,2025,Q1,143693.0183392129
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2025Q2,2025,Q2,155573.7696714954
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas IME com titular homem (por 10.000 km2),2025Q3,2025,Q3,162453.51397332933
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2020Q1,2020,Q1,39683.47007321026
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2020Q2,2020,Q2,41813.6078130649
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2020Q3,2020,Q3,39702.80680378144
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2020,2020,,39957.889947895026
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2021Q1,2021,Q1,41118.30558471013
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2021Q2,2021,Q2,40755.09864532343
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2021Q3,2021,Q3,41406.17904648483
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2021,2021,,41379.670969590145
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2022Q1,2022,Q1,41106.146145945786
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2022Q2,2022,Q2,40955.967069437655
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2022Q3,2022,Q3,38903.086020523435
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2022,2022,,38148.28760825591
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2023Q1,2023,Q1,43678.16767765978
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2023Q2,2023,Q2,41589.58192599265
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2023Q3,2023,Q3,47615.151742600516
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2023Q4,2023,Q4,41338.26215316871
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2024Q1,2024,Q1,43119.12982561485
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2024Q2,2024,Q2,44364.92031324276
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2024Q3,2024,Q3,39807.43826465511
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2024Q4,2024,Q4,39404.10067802547
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2025Q1,2025,Q1,41381.85343641323
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2025Q2,2025,Q2,42374.077409992744
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Cartões Bancários (por 10,000 km2)",2025Q3,2025,Q3,43753.76792013811
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2020Q1,2020,Q1,13807.855848102088
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2020Q2,2020,Q2,14371.08055127793
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2020Q3,2020,Q3,13566.781213917302
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2020,2020,,13474.872369676963
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2021Q1,2021,Q1,24449.87921874355
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2021Q2,2021,Q2,23598.705995529028
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2021Q3,2021,Q3,13691.25283501318
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2021,2021,,13598.030471153234
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2022Q1,2022,Q1,13324.755841722137
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2022Q2,2022,Q2,13264.971934464127
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2022Q3,2022,Q3,12620.571718796717
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2022,2022,,12751.660976833267
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2023Q1,2023,Q1,14181.545925024298
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2023Q2,2023,Q2,13860.3667842578
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2023Q3,2023,Q3,16031.912231979784
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2023Q4,2023,Q4,14817.59613700618
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2024Q1,2024,Q1,15564.512497185318
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2024Q2,2024,Q2,15717.74375140734
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2024Q3,2024,Q3,14312.004303335085
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2024Q4,2024,Q4,14228.389501863945
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2025Q1,2025,Q1,14882.383847481799
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2025Q2,2025,Q2,15279.429057519577
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular mulher (por 10.000 km2),2025Q3,2025,Q3,15786.6971903225
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2020Q1,2020,Q1,24071.18525755618
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2020Q2,2020,Q2,25339.144510926606
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2020Q3,2020,Q3,23671.3498853485
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2020,2020,,23858.670292814797
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2021Q1,2021,Q1,13789.24139863569
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2021Q2,2021,Q2,13459.623032378884
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2021Q3,2021,Q3,24091.425969408756
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2021,2021,,23502.75651474457
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2022Q1,2022,Q1,24141.277166400418
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Cartões bancários com titular homem (por 10.000 km2),2022Q2,2022,Q2,23940.18356749427
