Year,Month,Category,Metric,Sub_Metric,Value
2021,Março,Mobile_Banking,Valor das transferências efectuadas para contas,,6175418483.957998
2021,Outubro,Mobile_Banking,Volume das transferências efectuadas para contas,,1033022.0
2021,Abril,Mobile_Banking,Volume das transferências efectuadas para contas,,936725.0
2021,Fevereiro,Mobile_Banking,Valor das transferências efectuadas para contas,,5126510014.2521
2021,Novembro,Mobile_Banking,Volume das transferências efectuadas para contas,,1104737.0
2021,Janeiro,Mobile_Banking,Valor das transferências efectuadas para contas,,5303581064.868098
2021,Maio,Mobile_Banking,Volume das transferências efectuadas para contas,,976664.0
2021,Março,Mobile_Banking,Quantidade de subscritores,,3805866.0
2021,Maio,Mobile_Banking,Valor das transferências efectuadas para contas,,6042449816.056999
2021,Novembro,Mobile_Banking,Quantidade de subscritores,,4392255.0
2021,Outubro,Mobile_Banking,Quantidade de subscritores,,4277716.0
2021,Setembro,Mobile_Banking,Quantidade de subscritores,,4238229.0
2021,Agosto,Mobile_Banking,Quantidade de subscritores,,4154797.0
2021,Julho,Mobile_Banking,Quantidade de subscritores,,3997954.0
2021,Agosto,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6833595.0
2021,Maio,Mobile_Banking,Quantidade de subscritores,,3903011.0
2021,Abril,Mobile_Banking,Quantidade de subscritores,,3810283.0
2021,Janeiro,Mobile_Banking,Volume das transferências efectuadas para contas,,908775.0
2021,Abril,Mobile_Banking,Valor das transferências efectuadas para contas,,5385261147.688
2021,Março,Mobile_Banking,Volume das transferências efectuadas para contas,,971991.0
2021,Dezembro,Mobile_Banking,Quantidade de subscritores,,4516681.0
2021,Fevereiro,Mobile_Banking,Quantidade de subscritores,,3719626.0
2021,Junho,Mobile_Banking,Quantidade de subscritores,,4021391.0
2021,Novembro,Mobile_Banking,Valor das transferências efectuadas para contas,,7008268390.004
2021,Outubro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,7078373.0
2021,Dezembro,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,11146359998.38
2021,Maio,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,7805069177.15
2021,Agosto,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,7951389293.44
2021,Julho,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,7834378065.209999
2021,Junho,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,7497084104.789999
2021,Setembro,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,8156979782.4
2021,Janeiro,Mobile_Banking,Quantidade de subscritores,,3654798.0
2021,Janeiro,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,7001381436.710001
2021,Dezembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,3017610.0
2021,Novembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,2656109.0
2021,Fevereiro,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,6470431839.1925
2021,Abril,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,7409475657.489998
2021,Março,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,7837814654.62
2021,Julho,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6542426.0
2021,Setembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6895587.0
2021,Maio,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6448821.0
2021,Abril,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6152763.0
2021,Março,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6407195.0
2021,Fevereiro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,5545074.0
2021,Janeiro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6141694.0
2021,Dezembro,Mobile_Banking,Valor das transferências efectuadas para contas,,8025744312.608004
2021,Junho,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6435908.0
2021,Outubro,Mobile_Banking,Valor das transferências efectuadas para contas,,6277599048.058699
2021,Setembro,Mobile_Banking,Valor das transferências efectuadas para contas,,6467272838.9182
2021,Agosto,Mobile_Banking,Valor das transferências efectuadas para contas,,6370924291.230501
2021,Junho,Mobile_Banking,Valor das transferências efectuadas para contas,,6031019946.330002
2021,Novembro,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,8958057723.910004
2021,Outubro,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,8431705862.989998
2022,Março,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,9313683018.919998
2022,Setembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,8098321.0
2022,Agosto,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,9871276900.21
2022,Julho,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,8552634702.790002
2022,Junho,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,9059355213.17
2022,Fevereiro,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,8381060244.610001
2022,Maio,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,8959361271.479998
2022,Janeiro,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,9315160197.779997
2022,Dezembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,18253297.0
2022,Novembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,8312431.0
2022,Janeiro,Mobile_Banking,Quantidade de subscritores,,4651451.0
2022,Abril,Mobile_Banking,Valor das transferências efectuadas para telemóveis,,8297138598.980001
2022,Janeiro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,7985855.0
2022,Setembro,Mobile_Banking,Valor das transferências efectuadas para contas,,6347832246.890001
